	TCGA	miRNA	5shift	3shift	5frac	3frac
356	TCGA-BRCA	hsa-miR-26b-5p	0	+1	1.0	0.7436982071049305
310	TCGA-BRCA	hsa-miR-27a-3p	0	0	1.0	0.48891447506985497
328	TCGA-BRCA	hsa-miR-27b-3p	0	0	1.0	0.5918252919334255
335	TCGA-BRCA	hsa-miR-28-3p	0	0	0.9411079461145715	0.6855032954895375
338	TCGA-BRCA	hsa-miR-29a-3p	0	-1	0.773703742808439	0.70279691708518
349	TCGA-BRCA	hsa-miR-29c-3p	0	-1	0.996203627994346	0.5049848633737328
311	TCGA-BRCA	hsa-miR-30a-3p	0	-1	0.7956465202076133	0.4297562847917028
345	TCGA-BRCA	hsa-miR-30a-5p	0	0	0.994854486688985	0.7597086597123315
304	TCGA-BRCA	hsa-miR-30b-5p	0	0	1.0	0.7425279581529591
350	TCGA-BRCA	hsa-miR-30c-5p	0	0	1.0	0.4918849807238362
300	TCGA-BRCA	hsa-miR-30d-5p	0	0	1.0	0.7777802802347444
364	TCGA-BRCA	hsa-miR-30e-3p	0	-1	0.9832851749511141	0.48184296754032
360	TCGA-BRCA	hsa-miR-30e-5p	0	+1	0.8049471050408117	0.29522325526406334
348	TCGA-BRCA	hsa-miR-320a	0	0	0.9191651339353626	0.652681734936401
316	TCGA-BRCA	hsa-miR-374a-3p	0	0	1.0	0.819955071272247
329	TCGA-BRCA	hsa-miR-375	0	0	0.9549181313535615	0.9227920779877465
319	TCGA-BRCA	hsa-miR-379-5p	0	0	1.0	0.7381093413555313
359	TCGA-BRCA	hsa-miR-532-5p	0	0	0.9748832890951628	0.921081596220185
301	TCGA-BRCA	hsa-miR-9-5p	0	0	0.9817889192352712	0.6316063311243776
346	TCGA-BRCA	hsa-miR-92a-3p	0	0	0.9866787691694572	0.9367365420787561
366	TCGA-BRCA	hsa-miR-93-5p	0	0	0.9941939062608038	0.9436346758957086
339	TCGA-BRCA	hsa-miR-99a-5p	0	-1	0.9803747077976388	0.8416255584019644
337	TCGA-BRCA	hsa-miR-99b-5p	0	0	0.9970241112516938	0.6084549622376165
2264	TCGA-CESC	hsa-let-7a-5p	0	0	0.9983246865542587	0.601709497624658
2267	TCGA-CESC	hsa-let-7b-5p	0	-2	1.0	0.3983357245337296
2236	TCGA-CESC	hsa-let-7c-5p	0	0	0.9910447761194028	0.6325985303941214
2252	TCGA-CESC	hsa-let-7e-5p	0	0	1.0	0.6335337813937031
2263	TCGA-CESC	hsa-let-7f-5p	0	0	1.0	0.7101059357659337
2200	TCGA-CESC	hsa-let-7g-5p	0	0	1.0	0.7410714285714284
2246	TCGA-CESC	hsa-miR-100-5p	0	-1	0.9962337133550488	0.8479076110116738
2198	TCGA-CESC	hsa-miR-101-3p	0	-1	0.7106753585397684	0.7810336450868425
2208	TCGA-CESC	hsa-miR-103a-3p	0	0	0.9844976244941052	0.8679994120241061
2234	TCGA-CESC	hsa-miR-106b-3p	0	-1	0.9043579994150336	0.8560280920795938
2229	TCGA-CESC	hsa-miR-106b-5p	0	0	1.0	0.4324088228870928
2205	TCGA-CESC	hsa-miR-10a-5p	0	-1	0.7938851200432211	0.826699286967439
2206	TCGA-CESC	hsa-miR-10b-5p	0	-1	0.8938568611738857	0.7510275646000424
2222	TCGA-CESC	hsa-miR-125a-5p	0	-2	1.0	0.47974217311233913
2197	TCGA-CESC	hsa-miR-125b-5p	0	0	1.0	0.8092189500640203
2273	TCGA-CESC	hsa-miR-126-3p	0	0	0.8250253036437245	0.9350953496152564
2230	TCGA-CESC	hsa-miR-1307-3p	0	+1	0.6637239165329059	0.8227257580806395
2228	TCGA-CESC	hsa-miR-140-3p	+1	+2	0.5641969627243437	0.40494354592615206
2243	TCGA-CESC	hsa-miR-141-3p	0	+1	1.0	0.6097832128960533
2239	TCGA-CESC	hsa-miR-141-5p	0	-1	1.0	0.7209921757949046
2233	TCGA-CESC	hsa-miR-142-3p	+1	-1	0.7997773930249866	0.6316507503410642
2201	TCGA-CESC	hsa-miR-143-3p	0	-1	0.9931209576761604	0.7414474606807779
2199	TCGA-CESC	hsa-miR-145-5p	0	0	1.0	0.4011817841012526
2226	TCGA-CESC	hsa-miR-146b-5p	0	+2	1.0	0.40797101449275425
2193	TCGA-CESC	hsa-miR-148a-3p	0	-1	1.0	0.5565964265253439
2196	TCGA-CESC	hsa-miR-150-5p	0	0	0.969801152202193	0.3972201901975132
2241	TCGA-CESC	hsa-miR-151a-3p	0	0	0.8498216023353876	0.5287003917560897
2227	TCGA-CESC	hsa-miR-15b-5p	0	0	1.0	0.6316576900059838
2244	TCGA-CESC	hsa-miR-16-5p	0	0	1.0	0.8382441371016237
2194	TCGA-CESC	hsa-miR-17-3p	0	0	0.9128065395095372	0.9829787234042554
2269	TCGA-CESC	hsa-miR-17-5p	0	0	0.987923646279704	0.8801638784568112
2251	TCGA-CESC	hsa-miR-181a-2-3p	0	0	0.9819078947368421	0.4862074947952818
2215	TCGA-CESC	hsa-miR-181a-5p	0	-1	0.9962243797195253	0.5899113975030211
2253	TCGA-CESC	hsa-miR-182-5p	0	-2	0.9987257281553398	0.4005244182235272
2214	TCGA-CESC	hsa-miR-183-5p	0	+1	0.6659686378606899	0.44864832247164105
2262	TCGA-CESC	hsa-miR-193a-5p	0	0	1.0	0.7336504161712242
2258	TCGA-CESC	hsa-miR-196b-5p	0	-1	1.0	0.7421686746987955
2242	TCGA-CESC	hsa-miR-197-3p	0	0	1.0	0.8344923504867876
2212	TCGA-CESC	hsa-miR-199a-3p	0	-1	0.6149909195971603	0.5812096110518973
2204	TCGA-CESC	hsa-miR-199a-5p	0	0	1.0	0.7313962661057053
2250	TCGA-CESC	hsa-miR-199b-3p	0	-1	0.6149909195971603	0.5812096110518973
2271	TCGA-CESC	hsa-miR-200a-3p	0	+1	1.0	0.6679611650485434
2217	TCGA-CESC	hsa-miR-200a-5p	0	0	0.9680685358255459	0.723340040241449
2220	TCGA-CESC	hsa-miR-200b-3p	0	0	1.0	0.47707524496209947
